Mood,Bipolar Stage,Recommended Activities,Activity Description,Activity Type,Duration (minutes),Gender,Age Range,Image URL
Angry,Euthymia,Deep breathing exercises,"Focus on slow, deep breaths to reduce stress and promote relaxation.",physical,30,Male,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Deep%20breathing%20exercises%20M.webp?alt=media
Angry,Depression,Meditate,Simple body stretches to ease physical and mental tension.,physical,20,Female,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Meditate%20F.webp?alt=media
Angry,Mania,Gardening,Plant and tend to plants to enjoy nature and reduce stress.,physical,20,Female,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Gardening%20F.webp?alt=media
Happy,Mania,Reading,Read a book or article to engage your mind in a relaxed way.,happiness,10,Male,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Reading%20M.webp?alt=media
Happy,Depression,Art therapy,Use creative activities like drawing or painting to express emotions and relieve stress.,happiness,10,Male,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Art%20therapy%20M.webp?alt=media
Fear,Mixed Episodes,Listening to uplifting music,"Listen to positive, energetic music to lift your mood.",happiness,20,Male,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Listening%20to%20uplifting%20music%20M.webp?alt=media
Fear,Mania,Deep breathing exercises,"Focus on slow, deep breaths to reduce stress and promote relaxation.",physical,30,Male,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Deep%20breathing%20exercises%20M.webp?alt=media
Angry,Mixed Episodes,Meditate,Simple body stretches to ease physical and mental tension.,physical,20,Female,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Meditate%20F.webp?alt=media
Angry,Hypomania,Light exercise,Write down things you're grateful for to shift perspective.,physical,30,Female,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Light%20exercise%20F.webp?alt=media
Sad,Mania,Light exercise,Engage in moderate physical activities to improve mood and energy.,physical,30,Male,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Light%20exercise%20M.webp?alt=media
Sad,Mania,Meditate,"Sit quietly, focus on your breath, and clear your mind.",routine,20,Female,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Meditate%20F.webp?alt=media
Irritable,Hypomania,Taking a Warm Bath,Soak in warm water to relax your muscles and calm your mind.,happiness,15,Female,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Taking%20a%20Warm%20Bath%20F.webp?alt=media
Anxious,Mania,Cooking,Engage in preparing food as a relaxing and creative activity.,happiness,45,Male,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Cooking%20M.webp?alt=media
Irritable,Euthymia,Gentle yoga,Listen to or play music that suits or changes your mood.,physical,45,Female,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Gentle%20yoga%20F.webp?alt=media
Neutral,Mania,Gardening,Plant and tend to plants to enjoy nature and reduce stress.,physical,20,Female,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Gardening%20F.webp?alt=media
Surprise,Mixed Episodes,Taking a Warm Bath,Soak in warm water to relax your muscles and calm your mind.,happiness,15,Male,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Taking%20a%20Warm%20Bath%20M.webp?alt=media
Calm,Mixed Episodes,Deep breathing exercises,"Focus on slow, deep breaths to reduce stress and promote relaxation.",physical,30,Male,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Deep%20breathing%20exercises%20M.webp?alt=media
Angry,Euthymia,Art therapy,Use creative activities like drawing or painting to express emotions and relieve stress.,happiness,10,Male,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Art%20therapy%20M.webp?alt=media
Calm,Depression,Light exercise,Write down things you're grateful for to shift perspective.,physical,30,Female,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Light%20exercise%20F.webp?alt=media
Anxious,Mania,Light exercise,Write down things you're grateful for to shift perspective.,physical,30,Female,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Light%20exercise%20F.webp?alt=media
Calm,Euthymia,Reading,Read a book or article to engage your mind in a relaxed way.,happiness,10,Male,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Reading%20M.webp?alt=media
Disgust,Euthymia,Light exercise,Engage in moderate physical activities to improve mood and energy.,physical,20,Female,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Light%20exercise%20F.webp?alt=media
Disgust,Euthymia,Deep breathing exercises,"Focus on slow, deep breaths to reduce stress and promote relaxation.",physical,30,Male,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Deep%20breathing%20exercises%20M.webp?alt=media
Happy,Mania,Socializing,Engage in conversations with friends or family to boost mood.,happiness,10,Male,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Socializing%20M.webp?alt=media
Sad,Depression,Light exercise,Engage in moderate physical activities to improve mood and energy.,physical,10,Male,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Light%20exercise%20M.webp?alt=media
Surprise,Mania,Going for a walk,Engage in conversation with someone you trust.,physical,10,Male,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Going%20for%20a%20walk%20M.webp?alt=media
Happy,Hypomania,Going for a walk,Take a brisk walk outdoors to refresh your mind and body.,physical,15,Male,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Going%20for%20a%20walk%20M.webp?alt=media
Happy,Mania,Cooking,Engage in preparing food as a relaxing and creative activity.,happiness,15,Female,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Cooking%20F.webp?alt=media
Fear,Hypomania,Gentle yoga,Listen to or play music that suits or changes your mood.,physical,45,Female,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Gentle%20yoga%20F.webp?alt=media
Neutral,Hypomania,Art therapy,Use creative activities like drawing or painting to express emotions and relieve stress.,happiness,15,Male,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Art%20therapy%20M.webp?alt=media
Calm,Hypomania,Gardening,Plant and tend to plants to enjoy nature and reduce stress.,physical,20,Female,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Gardening%20F.webp?alt=media
Calm,Depression,Light exercise,Engage in moderate physical activities to improve mood and energy.,physical,20,Male,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Light%20exercise%20M.webp?alt=media
Irritable,Depression,Art therapy,Use creative activities like drawing or painting to express emotions and relieve stress.,happiness,30,Male,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Art%20therapy%20M.webp?alt=media
Angry,Mixed Episodes,Reading,Read a book or article to engage your mind in a relaxed way.,happiness,20,Male,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Reading%20M.webp?alt=media
Disgust,Depression,Gentle yoga,"Perform slow, controlled movements to stretch and relax your body.",physical,15,Male,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Gentle%20yoga%20M.webp?alt=media
Fear,Hypomania,Gentle yoga,"Perform slow, controlled movements to stretch and relax your body.",physical,30,Male,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Gentle%20yoga%20M.webp?alt=media
Angry,Mania,Cooking,Engage in preparing food as a relaxing and creative activity.,happiness,45,Male,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Cooking%20M.webp?alt=media
Disgust,Mixed Episodes,Meditate,"Sit quietly, focus on your breath, and clear your mind.",routine,30,Male,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Meditate%20M.webp?alt=media
Fear,Mixed Episodes,Light exercise,Engage in moderate physical activities to improve mood and energy.,physical,45,Female,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Light%20exercise%20F.webp?alt=media
Angry,Hypomania,Taking a Warm Bath,Soak in warm water to relax your muscles and calm your mind.,happiness,30,Female,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Taking%20a%20Warm%20Bath%20F.webp?alt=media
Anxious,Mixed Episodes,Listen to soothing music,Listen to calming music to relax and reduce stress.,happiness,30,Male,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Listen%20to%20soothing%20music%20M.webp?alt=media
Calm,Depression,Deep breathing exercises,"Focus on slow, deep breaths to reduce stress and promote relaxation.",physical,45,Female,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Deep%20breathing%20exercises%20F.webp?alt=media
Surprise,Mania,Gardening,Plant and tend to plants to enjoy nature and reduce stress.,physical,15,Female,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Gardening%20F.webp?alt=media
Angry,Mania,Cooking,Engage in preparing food as a relaxing and creative activity.,happiness,20,Female,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Cooking%20F.webp?alt=media
Neutral,Mixed Episodes,Light exercise,Write down things you're grateful for to shift perspective.,physical,30,Female,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Light%20exercise%20F.webp?alt=media
Surprise,Mixed Episodes,Mindful walking,Draw freely to express inner thoughts and feelings.,physical,30,Female,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Mindful%20walking%20F.webp?alt=media
Calm,Mixed Episodes,Journaling,Write down your thoughts and feelings to process emotions.,other,15,Male,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Journaling%20M.webp?alt=media
Calm,Depression,Taking a Warm Bath,Soak in warm water to relax your muscles and calm your mind.,happiness,30,Female,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Taking%20a%20Warm%20Bath%20F.webp?alt=media
Neutral,Euthymia,Socializing,Engage in conversations with friends or family to boost mood.,happiness,10,Male,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Socializing%20M.webp?alt=media
Sad,Depression,Cooking,Engage in preparing food as a relaxing and creative activity.,happiness,30,Male,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Cooking%20M.webp?alt=media
Sad,Depression,Going for a walk,Engage in conversation with someone you trust.,physical,10,Male,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Going%20for%20a%20walk%20M.webp?alt=media
Happy,Mixed Episodes,Cooking,Engage in preparing food as a relaxing and creative activity.,happiness,45,Male,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Cooking%20M.webp?alt=media
Sad,Mixed Episodes,Light exercise,Engage in moderate physical activities to improve mood and energy.,physical,45,Male,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Light%20exercise%20M.webp?alt=media
Sad,Mixed Episodes,Gardening,Plant and tend to plants to enjoy nature and reduce stress.,physical,20,Female,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Gardening%20F.webp?alt=media
Anxious,Mania,Gardening,Plant and tend to plants to enjoy nature and reduce stress.,physical,15,Female,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Gardening%20F.webp?alt=media
Sad,Mania,Cooking,Engage in preparing food as a relaxing and creative activity.,happiness,15,Female,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Cooking%20F.webp?alt=media
Anxious,Euthymia,Art therapy,Use creative activities like drawing or painting to express emotions and relieve stress.,happiness,20,Male,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Art%20therapy%20M.webp?alt=media
Disgust,Hypomania,Mindful walking,Draw freely to express inner thoughts and feelings.,physical,30,Female,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Mindful%20walking%20F.webp?alt=media
Anxious,Euthymia,Listen to soothing music,Listen to calming music to relax and reduce stress.,happiness,10,Male,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Listen%20to%20soothing%20music%20M.webp?alt=media
Anxious,Mania,Gentle yoga,Listen to or play music that suits or changes your mood.,physical,45,Female,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Gentle%20yoga%20F.webp?alt=media
Irritable,Depression,Journaling,Write down your thoughts and feelings to process emotions.,other,45,Male,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Journaling%20M.webp?alt=media
Surprise,Euthymia,Art therapy,Use creative activities like drawing or painting to express emotions and relieve stress.,happiness,10,Male,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Art%20therapy%20M.webp?alt=media
Happy,Mania,Mindful walking,Draw freely to express inner thoughts and feelings.,physical,30,Female,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Mindful%20walking%20F.webp?alt=media
Sad,Hypomania,Listening to uplifting music,"Listen to positive, energetic music to lift your mood.",happiness,20,Male,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Listening%20to%20uplifting%20music%20M.webp?alt=media
Angry,Euthymia,Light exercise,Engage in moderate physical activities to improve mood and energy.,physical,10,Male,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Light%20exercise%20M.webp?alt=media
Calm,Hypomania,Socializing,Engage in conversations with friends or family to boost mood.,happiness,30,Female,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Socializing%20F.webp?alt=media
Calm,Hypomania,Journaling,Write down your thoughts and feelings to process emotions.,other,20,Female,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Journaling%20F.webp?alt=media
Anxious,Euthymia,Gentle yoga,"Perform slow, controlled movements to stretch and relax your body.",physical,30,Male,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Gentle%20yoga%20M.webp?alt=media
Calm,Euthymia,Listening to uplifting music,"Listen to positive, energetic music to lift your mood.",happiness,20,Male,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Listening%20to%20uplifting%20music%20M.webp?alt=media
Happy,Depression,Gardening,Plant and tend to plants to enjoy nature and reduce stress.,physical,20,Female,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Gardening%20F.webp?alt=media
Anxious,Depression,Art therapy,Use creative activities like drawing or painting to express emotions and relieve stress.,happiness,10,Male,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Art%20therapy%20M.webp?alt=media
