Mood,Bipolar Stage,Recommended Activities,Activity Description,Activity Type,Duration (minutes),Gender,Age Range,Image URL
Neutral,Mania,Art therapy,Use creative activities like drawing or painting to express emotions and relieve stress.,happiness,45,Female,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Art%20therapy%20F.webp?alt=media
Anxious,Hypomania,Art therapy,Use creative activities like drawing or painting to express emotions and relieve stress.,happiness,20,Male,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Art%20therapy%20M.webp?alt=media
Angry,Mania,Journaling,Write down your thoughts and feelings to process emotions.,other,15,Female,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Journaling%20F.webp?alt=media
Irritable,Mania,Socializing,Engage in conversations with friends or family to boost mood.,happiness,30,Female,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Socializing%20F.webp?alt=media
Fear,Depression,Mindful walking,Walk slowly and pay attention to each step to clear your mind.,physical,10,Female,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Mindful%20walking%20F.webp?alt=media
Neutral,Depression,Deep breathing exercises,"Focus on slow, deep breaths to reduce stress and promote relaxation.",physical,45,Female,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Deep%20breathing%20exercises%20F.webp?alt=media
Irritable,Depression,Listen to soothing music,Listen to calming music to relax and reduce stress.,happiness,30,Male,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Listen%20to%20soothing%20music%20M.webp?alt=media
Neutral,Euthymia,Reading,Read a book or article to engage your mind in a relaxed way.,happiness,30,Female,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Reading%20F.webp?alt=media
Angry,Euthymia,Socializing,Engage in conversations with friends or family to boost mood.,happiness,45,Female,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Socializing%20F.webp?alt=media
Disgust,Mania,Going for a walk,Engage in conversation with someone you trust.,physical,10,Male,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Going%20for%20a%20walk%20M.webp?alt=media
Neutral,Mixed Episodes,Light exercise,Engage in moderate physical activities to improve mood and energy.,physical,30,Female,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Light%20exercise%20F.webp?alt=media
Happy,Depression,Reading,Read a book or article to engage your mind in a relaxed way.,happiness,10,Male,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Reading%20M.webp?alt=media
Neutral,Mania,Mindful walking,Draw freely to express inner thoughts and feelings.,physical,30,Female,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Mindful%20walking%20F.webp?alt=media
Happy,Depression,Listen to soothing music,Listen to calming music to relax and reduce stress.,happiness,30,Male,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Listen%20to%20soothing%20music%20M.webp?alt=media
Disgust,Euthymia,Going for a walk,Take a brisk walk outdoors to refresh your mind and body.,physical,30,Male,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Going%20for%20a%20walk%20M.webp?alt=media
Surprise,Hypomania,Art therapy,Use creative activities like drawing or painting to express emotions and relieve stress.,happiness,10,Male,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Art%20therapy%20M.webp?alt=media
Neutral,Depression,Gardening,Plant and tend to plants to enjoy nature and reduce stress.,physical,10,Female,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Gardening%20F.webp?alt=media
Anxious,Depression,Listen to soothing music,Listen to calming music to relax and reduce stress.,happiness,20,Female,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Listen%20to%20soothing%20music%20F.webp?alt=media
Angry,Mania,Socializing,Engage in conversations with friends or family to boost mood.,happiness,30,Female,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Socializing%20F.webp?alt=media
Irritable,Mixed Episodes,Art therapy,Use creative activities like drawing or painting to express emotions and relieve stress.,happiness,10,Male,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Art%20therapy%20M.webp?alt=media
Sad,Mania,Listening to uplifting music,"Listen to positive, energetic music to lift your mood.",happiness,10,Female,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Listening%20to%20uplifting%20music%20F.webp?alt=media
Irritable,Euthymia,Meditate,Simple body stretches to ease physical and mental tension.,physical,20,Female,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Meditate%20F.webp?alt=media
Anxious,Mania,Mindful walking,Walk slowly and pay attention to each step to clear your mind.,physical,15,Female,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Mindful%20walking%20F.webp?alt=media
Sad,Depression,Meditate,Simple body stretches to ease physical and mental tension.,physical,20,Female,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Meditate%20F.webp?alt=media
Neutral,Depression,Reading,Read a book or article to engage your mind in a relaxed way.,happiness,45,Female,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Reading%20F.webp?alt=media
Fear,Depression,Taking a Warm Bath,Soak in warm water to relax your muscles and calm your mind.,happiness,15,Female,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Taking%20a%20Warm%20Bath%20F.webp?alt=media
Disgust,Mania,Listening to uplifting music,"Listen to positive, energetic music to lift your mood.",happiness,20,Male,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Listening%20to%20uplifting%20music%20M.webp?alt=media
Happy,Euthymia,Mindful walking,Walk slowly and pay attention to each step to clear your mind.,physical,10,Female,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Mindful%20walking%20F.webp?alt=media
Irritable,Hypomania,Mindful walking,Draw freely to express inner thoughts and feelings.,physical,30,Female,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Mindful%20walking%20F.webp?alt=media
Neutral,Hypomania,Mindful walking,Draw freely to express inner thoughts and feelings.,physical,30,Female,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Mindful%20walking%20F.webp?alt=media
Irritable,Mixed Episodes,Deep breathing exercises,"Focus on slow, deep breaths to reduce stress and promote relaxation.",physical,45,Female,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Deep%20breathing%20exercises%20F.webp?alt=media
Angry,Euthymia,Gardening,Plant and tend to plants to enjoy nature and reduce stress.,physical,45,Female,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Gardening%20F.webp?alt=media
Neutral,Mania,Listen to soothing music,Listen to calming music to relax and reduce stress.,happiness,30,Male,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Listen%20to%20soothing%20music%20M.webp?alt=media
Irritable,Depression,Listen to soothing music,Listen to calming music to relax and reduce stress.,happiness,20,Female,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Listen%20to%20soothing%20music%20F.webp?alt=media
Surprise,Mania,Mindful walking,Walk slowly and pay attention to each step to clear your mind.,physical,15,Female,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Mindful%20walking%20F.webp?alt=media
Neutral,Hypomania,Taking a Warm Bath,Soak in warm water to relax your muscles and calm your mind.,happiness,45,Male,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Taking%20a%20Warm%20Bath%20M.webp?alt=media
Surprise,Depression,Socializing,Engage in conversations with friends or family to boost mood.,happiness,20,Female,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Socializing%20F.webp?alt=media
Angry,Depression,Listen to soothing music,Listen to calming music to relax and reduce stress.,happiness,20,Female,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Listen%20to%20soothing%20music%20F.webp?alt=media
Disgust,Euthymia,Deep breathing exercises,"Focus on slow, deep breaths to reduce stress and promote relaxation.",physical,30,Female,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Deep%20breathing%20exercises%20F.webp?alt=media
Sad,Euthymia,Taking a Warm Bath,Soak in warm water to relax your muscles and calm your mind.,happiness,15,Female,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Taking%20a%20Warm%20Bath%20F.webp?alt=media
Calm,Depression,Socializing,Engage in conversations with friends or family to boost mood.,happiness,10,Male,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Socializing%20M.webp?alt=media
Angry,Euthymia,Socializing,Engage in conversations with friends or family to boost mood.,happiness,10,Male,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Socializing%20M.webp?alt=media
Neutral,Hypomania,Taking a Warm Bath,Soak in warm water to relax your muscles and calm your mind.,happiness,15,Female,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Taking%20a%20Warm%20Bath%20F.webp?alt=media
Surprise,Hypomania,Socializing,Engage in conversations with friends or family to boost mood.,happiness,45,Female,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Socializing%20F.webp?alt=media
Neutral,Mania,Going for a walk,Take a brisk walk outdoors to refresh your mind and body.,physical,45,Female,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Going%20for%20a%20walk%20F.webp?alt=media
Angry,Mania,Listen to soothing music,Listen to calming music to relax and reduce stress.,happiness,20,Female,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Listen%20to%20soothing%20music%20F.webp?alt=media
Surprise,Euthymia,Taking a Warm Bath,Soak in warm water to relax your muscles and calm your mind.,happiness,30,Female,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Taking%20a%20Warm%20Bath%20F.webp?alt=media
Irritable,Hypomania,Light exercise,Engage in moderate physical activities to improve mood and energy.,physical,45,Male,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Light%20exercise%20M.webp?alt=media
Angry,Mania,Socializing,Engage in conversations with friends or family to boost mood.,happiness,15,Female,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Socializing%20F.webp?alt=media
Anxious,Euthymia,Light exercise,Engage in moderate physical activities to improve mood and energy.,physical,45,Male,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Light%20exercise%20M.webp?alt=media
Angry,Hypomania,Listen to soothing music,Listen to calming music to relax and reduce stress.,happiness,20,Female,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Listen%20to%20soothing%20music%20F.webp?alt=media
Calm,Depression,Cooking,Engage in preparing food as a relaxing and creative activity.,happiness,10,Male,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Cooking%20M.webp?alt=media
Neutral,Mixed Episodes,Socializing,Engage in conversations with friends or family to boost mood.,happiness,10,Male,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Socializing%20M.webp?alt=media
Surprise,Depression,Socializing,Engage in conversations with friends or family to boost mood.,happiness,20,Male,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Socializing%20M.webp?alt=media
Anxious,Euthymia,Cooking,Engage in preparing food as a relaxing and creative activity.,happiness,45,Male,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Cooking%20M.webp?alt=media
Anxious,Euthymia,Light exercise,Engage in moderate physical activities to improve mood and energy.,physical,15,Female,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Light%20exercise%20F.webp?alt=media
Neutral,Mania,Journaling,Write down your thoughts and feelings to process emotions.,other,30,Female,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Journaling%20F.webp?alt=media
Neutral,Mixed Episodes,Listen to soothing music,Listen to calming music to relax and reduce stress.,happiness,20,Female,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Listen%20to%20soothing%20music%20F.webp?alt=media
Happy,Mania,Deep breathing exercises,"Focus on slow, deep breaths to reduce stress and promote relaxation.",physical,30,Male,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Deep%20breathing%20exercises%20M.webp?alt=media
Anxious,Euthymia,Light exercise,Engage in moderate physical activities to improve mood and energy.,physical,45,Male,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Light%20exercise%20M.webp?alt=media
Happy,Mania,Reading,Read a book or article to engage your mind in a relaxed way.,happiness,45,Male,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Reading%20M.webp?alt=media
Surprise,Hypomania,Reading,Read a book or article to engage your mind in a relaxed way.,happiness,20,Female,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Reading%20F.webp?alt=media
Surprise,Euthymia,Art therapy,Use creative activities like drawing or painting to express emotions and relieve stress.,happiness,10,Male,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Art%20therapy%20M.webp?alt=media
Anxious,Euthymia,Mindful walking,Draw freely to express inner thoughts and feelings.,physical,30,Female,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Mindful%20walking%20F.webp?alt=media
Anxious,Depression,Taking a Warm Bath,Soak in warm water to relax your muscles and calm your mind.,happiness,45,Male,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Taking%20a%20Warm%20Bath%20M.webp?alt=media
Neutral,Depression,Journaling,Write down your thoughts and feelings to process emotions.,other,15,Male,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Journaling%20M.webp?alt=media
Calm,Euthymia,Gardening,Plant and tend to plants to enjoy nature and reduce stress.,physical,20,Female,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Gardening%20F.webp?alt=media
Neutral,Mania,Listen to soothing music,Listen to calming music to relax and reduce stress.,happiness,45,Female,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Listen%20to%20soothing%20music%20F.webp?alt=media
Sad,Depression,Meditate,"Sit quietly, focus on your breath, and clear your mind.",routine,10,Male,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Meditate%20M.webp?alt=media
Fear,Mania,Reading,Read a book or article to engage your mind in a relaxed way.,happiness,45,Male,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Reading%20M.webp?alt=media
Irritable,Hypomania,Listen to soothing music,Listen to calming music to relax and reduce stress.,happiness,30,Male,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Listen%20to%20soothing%20music%20M.webp?alt=media
Sad,Mania,Deep breathing exercises,"Focus on slow, deep breaths to reduce stress and promote relaxation.",physical,30,Male,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Deep%20breathing%20exercises%20M.webp?alt=media
